date,district,cases
2014-05-31,Kailahun,1.0
2014-05-31,Koinadugu,0.0
2014-05-31,W/Rural,0.0
2014-05-31,Kenema,0.0
2014-05-31,Bo,0.0
2014-05-31,W/Urban,0.0
2014-05-31,Tonkolili,0.0
2014-05-31,Port Loko,0.0
2014-05-31,Kono,0.0
2014-05-31,Pujehun,0.0
2014-05-31,Bombali,0.0
2014-05-31,Bonthe,0.0
2014-05-31,Mayamba,0.0
2014-05-31,Kambia,0.0
2014-06-01,Bombali,0.0
2014-06-01,Pujehun,0.0
2014-06-01,Bonthe,0.0
2014-06-01,Mayamba,0.0
2014-06-01,Kenema,0.0
2014-06-01,W/Rural,0.0
2014-06-01,Kambia,0.0
2014-06-01,Koinadugu,0.0
2014-06-01,Kono,0.0
2014-06-01,Port Loko,0.0
2014-06-01,Bo,0.0
2014-06-01,Kailahun,3.0
2014-06-01,Tonkolili,0.0
2014-06-01,W/Urban,0.0
2014-06-02,Port Loko,0.0
2014-06-02,Pujehun,0.0
2014-06-02,Kono,0.0
2014-06-02,Bo,0.0
2014-06-02,Bombali,0.0
2014-06-02,Bonthe,0.0
2014-06-02,Kenema,0.0
2014-06-02,Tonkolili,0.0
2014-06-02,W/Urban,0.0
2014-06-02,Kailahun,0.0
2014-06-02,Kambia,0.0
2014-06-02,Mayamba,0.0
2014-06-02,Koinadugu,0.0
2014-06-02,W/Rural,0.0
2014-06-03,W/Rural,0.0
2014-06-03,Pujehun,0.0
2014-06-03,Kambia,0.0
2014-06-03,Kono,0.0
2014-06-03,Port Loko,0.0
2014-06-03,Koinadugu,0.0
2014-06-03,Bo,0.0
2014-06-03,Tonkolili,0.0
2014-06-03,Kailahun,6.0
2014-06-03,Kenema,0.0
2014-06-03,W/Urban,0.0
2014-06-03,Bonthe,0.0
2014-06-03,Mayamba,0.0
2014-06-03,Bombali,0.0
2014-06-04,Kenema,0.0
2014-06-04,Kambia,0.0
2014-06-04,Kailahun,0.0
2014-06-04,Bonthe,0.0
2014-06-04,Mayamba,0.0
2014-06-04,Bombali,0.0
2014-06-04,Kono,0.0
2014-06-04,Pujehun,0.0
2014-06-04,Port Loko,0.0
2014-06-04,Koinadugu,0.0
2014-06-04,Bo,0.0
2014-06-04,W/Urban,0.0
2014-06-04,W/Rural,0.0
2014-06-04,Tonkolili,0.0
2014-06-05,Port Loko,0.0
2014-06-05,Kambia,0.0
2014-06-05,Koinadugu,0.0
2014-06-05,W/Urban,0.0
2014-06-05,W/Rural,0.0
2014-06-05,Mayamba,0.0
2014-06-05,Bonthe,0.0
2014-06-05,Tonkolili,0.0
2014-06-05,Kailahun,0.0
2014-06-05,Pujehun,0.0
2014-06-05,Bombali,0.0
2014-06-05,Kono,0.0
2014-06-05,Kenema,0.0
2014-06-05,Bo,0.0
2014-06-06,Bo,0.0
2014-06-06,W/Urban,0.0
2014-06-06,Port Loko,0.0
2014-06-06,Kono,0.0
2014-06-06,Kambia,0.0
2014-06-06,Kenema,0.0
2014-06-06,Koinadugu,0.0
2014-06-06,Bonthe,0.0
2014-06-06,W/Rural,0.0
2014-06-06,Bombali,0.0
2014-06-06,Kailahun,0.0
2014-06-06,Tonkolili,0.0
2014-06-06,Pujehun,0.0
2014-06-06,Mayamba,0.0
2014-06-07,Koinadugu,0.0
2014-06-07,Kenema,0.0
2014-06-07,Mayamba,0.0
2014-06-07,Kono,0.0
2014-06-07,Kambia,0.0
2014-06-07,W/Rural,0.0
2014-06-07,Pujehun,0.0
2014-06-07,Port Loko,0.0
2014-06-07,W/Urban,0.0
2014-06-07,Tonkolili,0.0
2014-06-07,Bo,0.0
2014-06-07,Bombali,0.0
2014-06-07,Kailahun,2.0
2014-06-07,Bonthe,0.0
2014-06-08,Mayamba,0.0
2014-06-08,Tonkolili,0.0
2014-06-08,Koinadugu,0.0
2014-06-08,Bombali,0.0
2014-06-08,Kenema,0.0
2014-06-08,Kono,0.0
2014-06-08,W/Urban,0.0
