Location,SurveyYear,Indicator,Value
..Falaba,2013,Antenatal care from a skilled provider,94.1
..Falaba,2019,Antenatal care from a skilled provider,96.8
..Koinadugu,2013,Antenatal care from a skilled provider,90.6
..Koinadugu,2019,Antenatal care from a skilled provider,99.0
Bo,2013,Antenatal care from a skilled provider,99.0
Bo,2016,Antenatal care from a skilled provider,99.1
Bo,2019,Antenatal care from a skilled provider,98.8
Bombali,2013,Antenatal care from a skilled provider,96.5
Bombali,2019,Antenatal care from a skilled provider,98.9
Bombali (before 2017),2016,Antenatal care from a skilled provider,75.8
Bonthe,2013,Antenatal care from a skilled provider,97.8
Bonthe,2016,Antenatal care from a skilled provider,94.2
Bonthe,2019,Antenatal care from a skilled provider,98.5
Eastern,2008,Antenatal care from a skilled provider,89.8
Eastern,2013,Antenatal care from a skilled provider,99.1
Eastern,2016,Antenatal care from a skilled provider,97.6
Eastern,2019,Antenatal care from a skilled provider,99.6
Kailahun,2013,Antenatal care from a skilled provider,98.7
Kailahun,2016,Antenatal care from a skilled provider,95.8
Kailahun,2019,Antenatal care from a skilled provider,99.6
Kambia,2013,Antenatal care from a skilled provider,99.7
Kambia,2016,Antenatal care from a skilled provider,99.0
Kambia,2019,Antenatal care from a skilled provider,99.4
Karene,2013,Antenatal care from a skilled provider,95.5
Karene,2019,Antenatal care from a skilled provider,97.6
Kenema,2013,Antenatal care from a skilled provider,99.2
Kenema,2016,Antenatal care from a skilled provider,99.2
Kenema,2019,Antenatal care from a skilled provider,100.0
Koinadugu (before 2017),2013,Antenatal care from a skilled provider,92.3
Koinadugu (before 2017),2016,Antenatal care from a skilled provider,81.6
Koinadugu (before 2017),2019,Antenatal care from a skilled provider,98.1
Kono,2013,Antenatal care from a skilled provider,99.4
Kono,2016,Antenatal care from a skilled provider,98.2
Kono,2019,Antenatal care from a skilled provider,98.8
Moyamba,2016,Antenatal care from a skilled provider,95.6
Moyamba,2019,Antenatal care from a skilled provider,99.8
North Western,2013,Antenatal care from a skilled provider,97.8
North Western,2019,Antenatal care from a skilled provider,98.8
Northern,2013,Antenatal care from a skilled provider,95.9
Northern,2019,Antenatal care from a skilled provider,98.3
Northern (before 2017),2008,Antenatal care from a skilled provider,81.7
Northern (before 2017),2013,Antenatal care from a skilled provider,96.4
Northern (before 2017),2016,Antenatal care from a skilled provider,90.2
Northern (before 2017),2019,Antenatal care from a skilled provider,98.6
Port Loko,2013,Antenatal care from a skilled provider,96.5
Port Loko,2019,Antenatal care from a skilled provider,99.0
Port Loko (before 2017),2016,Antenatal care from a skilled provider,93.3
Pujehun,2013,Antenatal care from a skilled provider,98.4
Pujehun,2016,Antenatal care from a skilled provider,88.4
Pujehun,2019,Antenatal care from a skilled provider,97.4
Southern,2008,Antenatal care from a skilled provider,90.9
Southern,2013,Antenatal care from a skilled provider,98.1
Southern,2016,Antenatal care from a skilled provider,94.8
Southern,2019,Antenatal care from a skilled provider,98.8
Tonkolili,2013,Antenatal care from a skilled provider,97.3
Tonkolili,2016,Antenatal care from a skilled provider,98.7
Tonkolili,2019,Antenatal care from a skilled provider,98.0
Western,2008,Antenatal care from a skilled provider,94.5
Western,2016,Antenatal care from a skilled provider,96.8
Western,2019,Antenatal care from a skilled provider,95.4
Western Rural,2016,Antenatal care from a skilled provider,96.6
Western Rural,2019,Antenatal care from a skilled provider,97.5
Western Urban,2016,Antenatal care from a skilled provider,96.9
Western Urban,2019,Antenatal care from a skilled provider,93.7
..Falaba,2013,Assistance during delivery from a skilled provider,46.0
..Falaba,2019,Assistance during delivery from a skilled provider,85.5
..Koinadugu,2013,Assistance during delivery from a skilled provider,34.2
..Koinadugu,2019,Assistance during delivery from a skilled provider,75.9
Bo,2013,Assistance during delivery from a skilled provider,69.4
Bo,2019,Assistance during delivery from a skilled provider,94.0
Bombali,2013,Assistance during delivery from a skilled provider,52.7
Bombali,2019,Assistance during delivery from a skilled provider,91.4
Bonthe,2013,Assistance during delivery from a skilled provider,78.7
